iter	Passed	Remaining
1309	30796	16221
1310	30817	16196
1311	30839	16171
1312	30858	16145
1313	30883	16123
1314	30902	16097
1315	30929	16075
1316	30951	16051
1317	30974	16027
1318	30996	16003
1319	31020	15980
1320	31040	15954
1321	31059	15929
1322	31082	15905
1323	31101	15879
1324	31121	15854
1325	31140	15828
1326	31162	15804
1327	31184	15780
1328	31204	15754
1329	31228	15731
1330	31250	15707
1331	31269	15681
1332	31289	15656
1333	31312	15632
1334	31334	15608
1335	31366	15589
1336	31401	15571
1337	31443	15557
1338	31467	15533
1339	31496	15513
1340	31517	15488
1341	31547	15468
1342	31568	15443
1343	31590	15419
1344	31610	15394
1345	31634	15370
1346	31654	15345
1347	31676	15321
1348	31698	15296
1349	31717	15271
1350	31742	15248
1351	31765	15225
1352	31784	15199
1353	31807	15175
1354	31827	15150
1355	31849	15126
1356	31871	15102
1357	31897	15079
1358	31919	15055
1359	31944	15032
1360	31973	15011
1361	31995	14987
1362	32016	14962
1363	32041	14940
1364	32063	14915
1365	32086	14892
1366	32107	14867
1367	32130	14843
1368	32169	14827
1369	32197	14806
1370	32225	14784
1371	32253	14763
1372	32293	14747
1373	32322	14726
1374	32344	14701
1375	32375	14681
1376	32396	14657
1377	32421	14634
1378	32450	14613
1379	32477	14591
1380	32508	14570
1381	32535	14549
1382	32565	14528
1383	32601	14510
1384	32631	14489
1385	32662	14469
1386	32692	14448
1387	32725	14429
1388	32753	14407
1389	32779	14385
1390	32815	14366
1391	32849	14348
1392	32876	14326
1393	32902	14303
1394	32932	14282
1395	32960	14260
1396	32987	14238
1397	33017	14217
1398	33041	14194
1399	33063	14169
1400	33082	14144
1401	33107	14121
1402	33126	14095
1403	33148	14071
1404	33167	14046
1405	33187	14020
1406	33210	13997
1407	33234	13973
1408	33260	13951
1409	33286	13928
1410	33315	13906
1411	33342	13884
1412	33378	13866
1413	33404	13843
1414	33429	13820
1415	33456	13798
1416	33481	13775
1417	33512	13754
1418	33539	13732
1419	33565	13709
1420	33595	13688
1421	33626	13668
1422	33651	13645
1423	33681	13624
1424	33711	13602
1425	33740	13581
1426	33764	13557
1427	33788	13534
1428	33812	13510
1429	33837	13487
1430	33865	13465
1431	33888	13441
1432	33913	13418
1433	33935	13394
1434	33959	13370
1435	33986	13348
1436	34015	13326
1437	34044	13305
1438	34070	13282
1439	34095	13259
1440	34118	13235
1441	34142	13212
1442	34167	13188
1443	34188	13163
1444	34208	13138
1445	34231	13114
1446	34250	13089
1447	34269	13064
1448	34294	13040
1449	34317	13017
1450	34337	12991
1451	34360	12967
1452	34384	12944
1453	34403	12919
1454	34422	12893
1455	34442	12868
1456	34463	12843
1457	34482	12818
1458	34502	12793
1459	34521	12768
1460	34547	12745
1461	34571	12721
1462	34593	12697
1463	34618	12674
1464	34643	12651
1465	34667	12627
1466	34689	12603
1467	34713	12580
1468	34740	12557
1469	34765	12534
1470	34791	12511
1471	34820	12489
1472	34846	12466
1473	34868	12443
1474	34894	12420
1475	34917	12396
1476	34938	12371
1477	34966	12349
1478	34989	12325
1479	35014	12302
1480	35041	12279
1481	35064	12255
1482	35088	12232
1483	35118	12211
1484	35142	12187
1485	35164	12163
1486	35186	12138
1487	35207	12114
1488	35230	12090
1489	35254	12067
1490	35277	12042
1491	35301	12019
1492	35322	11994
1493	35345	11971
1494	35366	11946
1495	35392	11923
1496	35415	11899
1497	35437	11875
1498	35463	11852
1499	35486	11828
1500	35512	11806
1501	35540	11783
1502	35564	11760
1503	35590	11737
1504	35615	11713
1505	35647	11693
1506	35677	11671
1507	35702	11648
1508	35726	11624
1509	35756	11603
1510	35780	11579
1511	35809	11557
1512	35883	11550
1513	35971	11547
1514	36017	11530
1515	36083	11520
1516	36128	11502
1517	36178	11487
1518	36246	11477
1519	36288	11459
1520	36330	11441
1521	36370	11422
1522	36416	11405
1523	36462	11388
1524	36509	11371
1525	36554	11354
1526	36609	11340
1527	36662	11325
1528	36725	11312
1529	36833	11314
1530	36905	11305
1531	36969	11293
1532	37034	11281
1533	37088	11266
